gauge_id,pilot_split,gauge_name,state,drain_sqkm_attr,original_split,obs_years_usable,processing_status,selected_threshold_quantile,selected_threshold_value,q99_event_count,event_count,annual_peak_years,unit_area_peak_median,unit_area_peak_p90,q99_event_frequency,rbi,rising_time_median_hours,event_duration_median_hours,annual_peak_unit_area_median,annual_peak_unit_area_p90,error_detail
07305000,train,"North Fork Red River near Headrick, OK",OK,11834.5,train,30,ok,Q99,126.84935311999901,66,66,35,0.01951273851873759,0.05144376188263129,2.2,0.03061692605377485,17.0,35.0,0.014428180658244963,0.05799985060627826,
07307800,train,"Pease Rv nr Childress, TX",TX,7583.054,train,15,ok,Q99,20.202054623999803,59,59,17,0.005676016022040724,0.027018956531233988,3.933333333333333,0.08819857053844941,3.0,24.0,0.009877014722564286,0.0344986013286995,
07325800,train,"Cobb Creek near Eakly, OK",OK,342.2007,train,31,ok,Q99,8.5516736,153,153,35,0.062020450571842786,0.19065392677455087,4.935483870967742,0.05153754687463898,4.0,15.0,0.14832776204139853,0.33281688085383815,
07328100,train,"Washita River at Alex, OK",OK,12348.97,train,26,ok,Q99,203.597792,40,40,35,0.024994240005441752,0.04832601909309036,1.5384615384615385,0.013810242910096727,11.5,39.5,0.01616599926957471,0.048108179386620924,
07328180,train,"North Criner Creek near Criner, OK",OK,18.684,train,19,ok,Q99,0.4523891968000058,89,89,32,0.0560758724041961,0.2644659387711411,4.684210526315789,0.07643390168279167,2.0,15.0,0.007729377007064868,0.28170548062513384,
07359001,train,"Ouachita River below Remmel Dam at Jones Mill, AR",AR,4003.589,train,11,ok,Q99,283.026416,53,53,12,0.09141663642296949,0.23428828483643055,4.818181818181818,0.107882959263458,5.0,17.0,0.23163596463073508,0.3982900842219319,
07367005,train,"Ouachita River at West Monroe, LA",LA,38971.85,train,17,ok,Q99,2163.40352,10,10,18,0.05687432133706766,0.06634550343388881,0.5882352941176471,0.016053489220574417,41.0,180.5,0.04489456569292964,0.06283241057327277,
07372050,train,"Dugdemona River near Joyce, LA",LA,1905.953,train,21,ok,Q99,229.790832,25,25,24,0.18497001762372944,0.2595523058543417,1.1904761904761905,0.010355934434875244,24.0,88.0,0.17605579990692322,0.26022087218310214,
07377500,train,"Comite River near Olive Branch, LA",LA,389.6262,train,18,ok,Q99,76.313776,59,59,23,0.3601137295181895,1.0439300929968263,3.2777777777777777,0.043859519855055935,15.0,40.0,0.5705131739087361,1.594529813446837,
08013500,train,"CALCASIEU RIVER NEAR OBERLIN, LA.",LA,1966.531,train,25,ok,Q99,310.06896,33,33,30,0.24442924113578685,0.4010223484908197,1.32,0.010520570862422975,23.0,69.0,0.21419057212929773,0.4143777606353523,
08014800,train,"BUNDICK CK NR DE RIDDER, LA",LA,310.6413,train,17,ok,Q99,50.61628,40,40,18,0.3871848591929019,0.8580052942091094,2.3529411764705883,0.0322237223036276,12.5,41.0,0.42250778631173636,1.5785930074333325,
08017200,train,"Cowleech Fk Sabine Rv at Greenville, TX",TX,210.4038,train,33,ok,Q99,57.483104,147,147,34,0.5073783648394183,0.9986067552011897,4.454545454545454,0.097656579764751,9.0,20.0,0.8303778543923637,1.8077877680916408,
08017300,train,"S Fk Sabine Rv nr Quinlan, TX",TX,201.4569,train,25,ok,Q99,50.828656,96,96,26,0.5383451447927572,1.8887762097004372,3.84,0.09119957437086795,7.0,23.0,1.2351717910878208,2.5880626575709247,
08023400,train,"Bayou San Patricio near Benson, LA",LA,210.9654,train,27,ok,Q99,41.625696,84,84,29,0.36223932455274654,0.964338463084468,3.111111111111111,0.046542665624886126,11.0,27.0,0.566428883598922,1.4449305525929843,
08047000,train,"Clear Fk Trinity Rv nr Benbrook, TX",TX,1117.324,train,17,ok,Q99,48.209352,19,19,18,0.04916621499224934,0.07592885573029846,1.1176470588235294,0.021849223818396445,3.0,51.0,0.040676172712659886,0.07600488595966792,
08047050,train,"Marys Ck at Benbrook, TX",TX,139.8366,train,24,ok,Q99,7.0862792,235,235,28,0.08083666919819274,0.5947401581560191,9.791666666666666,0.21096966679765639,2.0,7.0,0.7510189177940539,2.7619372496184846,
