dataset_label,scope,attribute,count,mean,std,min,p10,p25,median,p75,p90,max
prepared_pool,validation,area,198,3910.9232462121217,7928.204650786017,3.2985,57.56850000000001,231.377175,829.25325,2670.2419999999997,11653.770000000004,37665.93
prepared_pool,validation,aridity,198,2.096052929679235,1.21088767268063,0.518519561872102,1.060468795881886,1.322047392960005,1.571765865716445,2.4533870900975825,4.162062590276641,6.64400973995257
prepared_pool,validation,baseflow_index,198,39.30140191414141,17.093555659361524,8.168707,16.858362,26.32741,38.928844999999995,50.9260375,63.188632,82.06615
prepared_pool,validation,forest_fraction,198,0.3894890968511691,0.29707372246357283,0.0,0.012825649910000002,0.09119302927,0.3470535085,0.650127555,0.8059370724000001,0.9596084
prepared_pool,validation,permeability,198,2.6045033267676767,2.0821552741075173,0.3981331,0.7420599000000001,1.1873025,2.0195875,3.368793,4.964694200000002,12.14017
prepared_pool,validation,slope,198,8.558853171919193,9.44332660990897,0.0206181,0.9508765200000003,2.13983675,3.83422,12.3038125,22.414309000000017,53.32538
prepared_pool,validation,snow_fraction,198,0.08300138551446676,0.11222777724987293,0.0,0.002872911648488812,0.010854546436891524,0.044552883959497955,0.09499427473413008,0.21219753212135914,0.648379387469963
prepared_pool,validation,soil_depth,198,50.77876272727272,8.87039954187172,19.53179,38.057103,45.7608125,53.092585,58.4610325,59.999356,60.0
scaling_100,combined,area,100,2268.1457975000003,4851.241302182494,2.2428,39.42551,173.22412500000002,514.99215,2340.35725,5092.6567,37162.64
scaling_100,combined,aridity,100,2.0978768127592757,1.5867738361479267,0.518519561872102,1.101688439912418,1.3359251576661424,1.6390811241833099,2.1569200450165273,3.6372673639291757,14.080326649809
scaling_100,combined,baseflow_index,100,40.64648525,18.90331002532815,7.856455,16.814108,23.5872025,39.384204999999994,52.923472499999995,69.11074800000002,77.3591
scaling_100,combined,forest_fraction,100,0.37783783294578,0.30822739214632594,3.1603882e-05,0.01315736917,0.07901042421749993,0.31768503335,0.6718800425000001,0.8226814840000004,0.9339460333
scaling_100,combined,permeability,100,2.7003251229999994,2.509476103512295,0.3672246,0.60769027,1.1551025,1.8747185000000002,3.3442335,5.473192400000001,12.59698
scaling_100,combined,slope,100,9.046079331000001,11.053470863708482,0.01620745,0.64534884,2.18897375,4.3596445,11.9932125,25.121291000000003,57.62181
scaling_100,combined,snow_fraction,100,0.09469983444332324,0.13127189265060882,0.0,0.00158431140653751,0.020502193050249026,0.05143013491843165,0.10032026542052674,0.3003164514907433,0.683380813888544
scaling_100,combined,soil_depth,100,50.654115300000015,10.053668054068272,11.06096,38.655517,42.627875,54.749325,59.3758375,60.0,60.0
scaling_100,train,area,90,2401.6018005555557,5078.7224918680595,2.2428,38.268594,173.165175,514.99215,2512.1335,5140.415800000003,37162.64
scaling_100,train,aridity,90,2.1324997132273076,1.640704831862595,0.962815926966819,1.1164612482395229,1.34526651061483,1.6390811241833099,2.143921526435455,3.6372673639291757,14.080326649809
scaling_100,train,baseflow_index,90,40.273270277777776,19.01395345427335,7.856455,16.814108,23.5450275,38.891149999999996,51.837225,69.11074800000002,77.3591
scaling_100,train,forest_fraction,90,0.3823210450381111,0.30735419059611435,3.1603882e-05,0.01315736917,0.08426277427999992,0.356271715,0.6707274900000001,0.8226814840000004,0.9339460333
scaling_100,train,permeability,90,2.542088583333333,2.3751859501330905,0.3672246,0.58277659,1.14291875,1.798498,2.95769575,5.456215700000001,12.59698
scaling_100,train,slope,90,8.843977722222222,10.649870574697042,0.01620745,0.6630563700000001,2.25050075,4.3596445,11.752465,24.500090000000004,57.62181
scaling_100,train,snow_fraction,90,0.09158617246176097,0.12403068776146296,0.0,0.00158431140653751,0.018167486977326276,0.050980071969829996,0.09667884434764923,0.3003164514907433,0.683380813888544
scaling_100,train,soil_depth,90,50.407093666666675,10.289349955245143,11.06096,38.655517,42.569145,54.525275,59.5619825,60.0,60.0
scaling_100,validation,area,10,1067.0417699999998,1265.573762257125,50.922,95.93136,225.30262499999998,618.7158,1272.3894,2333.8721999999993,4357.758
scaling_100,validation,aridity,10,1.78627070854699,0.9183756812149093,0.518519561872102,0.9596024887753762,1.141957905659515,1.649127950413575,2.2060500646571524,2.7411123262880634,3.8991309604536
scaling_100,validation,baseflow_index,10,44.00542,17.522597355731254,12.06118,18.378055,35.100207499999996,48.62094,56.323080000000004,58.79181799999999,71.822
scaling_100,validation,forest_fraction,10,0.33748892411479997,0.3131021227019739,0.000411817228,0.0191524547608,0.06317030300000001,0.26209748054999993,0.5830794675000001,0.7542772476999999,0.93219388
scaling_100,validation,permeability,10,4.12445398,3.153987355379625,0.6217898,1.21662518,1.6577865,3.6328565,5.3284705,6.130230099999998,12.14017
scaling_100,validation,slope,10,10.86499381,14.047719978843224,0.2296079,0.32884712,1.128418125,3.3115825,16.7354955,36.467163,36.67257
scaling_100,validation,snow_fraction,10,0.12272279227738361,0.18165366568640323,0.0,0.0070267220456331604,0.030736687388352828,0.06714931250220771,0.1115400534835477,0.21218939446036503,0.648379387469963
scaling_100,validation,soil_depth,10,52.87731,7.241142108830623,37.8931,41.810512,49.70662,56.153845000000004,58.064435,59.622603,60.0
scaling_300,combined,area,300,3636.954638433333,7657.424436167936,1.5048,63.048510000000014,201.11759999999998,731.2040999999999,2779.7045,9959.097900000022,49128.08
scaling_300,combined,aridity,300,2.0873667746276405,1.2322103439631586,0.407039404350497,1.100035585137022,1.351107401123035,1.573288944855785,2.36579762499507,3.9867802317112537,8.04612331095514
scaling_300,combined,baseflow_index,300,39.521497743333335,17.08502959651831,8.171462,18.070393000000003,24.66947,39.93249,51.6746675,64.125067,81.82423
scaling_300,combined,forest_fraction,300,0.3760381343111133,0.30254413776767874,0.0,0.018528113100000004,0.08021622862499997,0.33697623899999996,0.65256655475,0.7949611615000002,0.9763976
scaling_300,combined,permeability,300,2.4249242946666665,2.1826318449453064,0.3929265,0.63358956,1.0906992500000001,1.726633,3.026306,4.737431000000002,18.25317
scaling_300,combined,slope,300,7.988661569233333,8.966669708965583,0.01102182,1.034483,2.1686115,3.522328,11.501055000000001,21.685810000000025,58.75731
